time,acc_x,acc_y,acc_z,local max
1408129715862,-1.16404564546,11.4849403165,-1.57942332585,0.0
1408129715890,0.0949734599887,12.7725157149,-0.800482653941,0.0
1408129715892,0.426908984971,16.5793599469,0.138353746295,0.0
1408129715893,0.999993357765,17.7798650546,0.884367768265,17.7798650546
1408129715927,0.219642133161,15.5788542154,1.69144246732,0.0
1408129715928,-1.96304385449,12.3533144086,1.10988282249,0.0
1408129715929,-3.94863727182,9.79485350991,-1.02000858023,0.0
1408129715931,-4.23749755156,8.94167001404,-4.71877352524,0.0
1408129715967,-2.51057269321,11.3114202737,-7.56237767513,0.0
1408129715968,-1.00905001639,15.9142573924,-3.54128794926,0.0
1408129715972,0.84535746843,15.8810331767,1.23412237661,0.0
1408129716007,3.23707345312,14.1272882352,0.831287089388,0.0
1408129716008,4.23797371661,13.622435275,0.938029629129,0.0
1408129716010,4.10906756143,12.0059918273,1.88386704713,0.0
1408129716011,4.26016495393,10.2246529876,1.42373125304,0.0
